Network,0,1,2,3,4
#1MTrajeados,3468,446,34,173,36
#AMLOLujoDePresidente,4362,931,79,806,78
#ARMY,9176,191,109,236,109
#AntorchaAyudaATabasco,1292,215,17,614,15
#AvisoCovidEdomex,4135,153,121,65,121
#BuenFinSeguro,3271,271,92,47,90
#ByeByeTrump,7971,1858,1032,805,1065
#Confetti,3936,473,47,378,47
#CovidDerrotaAPuebla,1622,41,12,121,14
#CuidemosTodosDeTodos,8156,193,105,121,102
#DiaInternacionalDelHombre,5731,2678,828,369,881
#Elecciones2020,6682,1790,552,681,555
#Fakeministas,5050,338,23,295,23
#FelizLunes,5442,5555,986,509,977
#FelizMartes,11141,195,30,88,29
#FelizMiercoles,5152,5558,1099,524,1108
#Fortnite,4394,1271,737,476,683
#GoPackGo,8121,447,127,283,120
#HalaMadrid,8597,424,200,194,187
#HappyAuronDay,4177,737,38,271,41
#ImolaGP,7346,604,137,312,135
#JusticeForJohnnyDepp,7711,872,137,638,138
#JusticiaParaAlexis,7272,1213,74,494,78
#LaBrujaDelPalacio,3552,1208,44,347,39
#LordMontajes,6531,544,48,681,42
#MasterChefMx,2393,844,75,514,70
#MatriomonioIgualitarioPuebla,3256,869,50,145,49
#NiallHoran,3550,321,13,418,13
#OfrendaEdomex,8417,64,93,155,90
#POSITIONS,5949,1230,638,670,648
#RatitaNoEstasSolo,5299,209,18,433,18
#SalarioRosa2,7235,21,36,70,37
#SerieMundial,11184,749,174,380,175
#SiguesTuLopez,5588,742,82,861,86
#SoloLasMujeresMenstruan,8850,858,237,366,249
#TarjetaRosa,5308,102,64,157,62
#Temblor,7654,1006,284,436,292
#TheMandalorian,7379,1945,1398,417,1432
#TrumpvsBiden,7444,2021,1021,379,1015
#UnPeligroParaMexico,2479,1448,31,183,30
#WonderAtMidnight,2626,275,18,933,17
#XSXFridgeSweeps,7469,94,205,84,184
#Xavi,8777,2449,1067,1030,892
#nosfaltajorge,10698,766,155,336,170
Best_Buy,8228,1642,1184,680,1133
Best_Buy_Liquidacion,5739,2951,2181,680,2039
Bloomberg,12129,1378,508,582,517
Bob_Esponja,6106,771,1156,222,1113
Brozo,10522,646,92,668,91
Censura,11131,1551,623,946,594
Checo,10486,1165,681,1031,644
Chile,5266,4221,2018,1227,1911
Chivas,6039,1308,279,959,256
Coco,3017,6067,3364,214,2910
Cruz_Azul,7013,1791,1336,1248,1323
DiaDeMuertos,10642,2383,680,432,691
Dinamarca,7086,1659,454,991,429
Europa_League,10396,1739,1401,825,1263
FONDEN,7655,969,120,735,121
Greta,12952,1057,574,488,568
Halloween,5049,5282,5148,390,5192
HereWeGo,4189,1166,453,577,436
KAROL,704,1803,473,155,390
Maluma,8120,851,793,611,718
Manchester_United,9985,1692,966,542,957
Pfizer,10799,2952,1461,1446,1445
Pumas,5571,1658,608,880,554
Ravens,5218,1294,810,631,746
Rayados,6770,548,118,504,114
SpotifyWrapped,7664,1966,880,952,858
SystemofaDown,8760,1281,1048,306,1040
Trump,8088,4538,2297,1942,2222
Viena,8970,1748,557,752,563
Worlds2020,10373,1043,201,291,206
Yakult,7681,946,718,420,611
