,0,1,2,3
#1MTrajeados,984,0,0,3173
#AMLOLujoDePresidente,4024,0,0,2232
#ARMY,855,8966,0,0
#AntorchaAyudaATabasco,1626,0,0,527
#AvisoCovidEdomex,4595,0,0,0
#BuenFinSeguro,3771,0,0,0
#ByeByeTrump,12731,0,0,0
#Confetti,1240,0,0,3641
#CovidDerrotaAPuebla,613,0,0,1197
#CuidemosTodosDeTodos,677,8000,0,0
#DiaInternacionalDelHombre,10487,0,0,0
#Elecciones2020,10260,0,0,0
#Fakeministas,2083,0,287,3359
#FelizLunes,13015,0,0,454
#FelizMartes,2310,2887,6252,34
#FelizMiercoles,13357,0,0,84
#Fortnite,7561,0,0,0
#GoPackGo,1395,0,7675,28
#HalaMadrid,3927,4,4468,1203
#HappyAuronDay,2014,0,0,3250
#ImolaGP,4254,0,0,4280
#JusticeForJohnnyDepp,9493,0,0,3
#JusticiaParaAlexis,8952,0,0,179
#LaBrujaDelPalacio,3931,0,85,1174
#LordMontajes,4267,0,0,3579
#MasterChefMx,3884,0,0,12
#MatriomonioIgualitarioPuebla,3358,0,0,1011
#NiallHoran,1778,0,0,2537
#OfrendaEdomex,545,8274,0,0
#POSITIONS,9135,0,0,0
#RatitaNoEstasSolo,1475,0,0,4502
#SalarioRosa2,169,7230,0,0
#SerieMundial,8759,2,0,3901
#SiguesTuLopez,5415,0,0,1944
#SoloLasMujeresMenstruan,10556,0,0,4
#TarjetaRosa,5693,0,0,0
#Temblor,9672,0,0,0
#TheMandalorian,11476,0,1094,1
#TrumpvsBiden,11880,0,0,0
#UnPeligroParaMexico,3193,0,12,966
#WonderAtMidnight,1356,0,0,2513
#XSXFridgeSweeps,731,7305,0,0
#Xavi,14214,0,0,1
#nosfaltajorge,11722,0,0,403
Best_Buy,12866,0,0,1
Best_Buy_Liquidacion,13590,0,0,0
Bloomberg,15114,0,0,0
Bob_Esponja,9368,0,0,0
Brozo,8919,76,0,3024
Censura,14505,0,0,340
Checo,13930,0,0,77
Chile,14643,0,0,0
Chivas,4028,0,0,4813
Coco,15572,0,0,0
Cruz_Azul,12711,0,0,0
DiaDeMuertos,8401,6427,0,0
Dinamarca,10561,0,0,58
Europa_League,15615,0,0,9
FONDEN,5953,0,0,3647
Greta,15637,0,0,2
Halloween,21061,0,0,0
HereWeGo,6372,0,0,449
KAROL,3495,0,0,30
Maluma,5432,5195,0,466
Manchester_United,14142,0,0,0
Pfizer,16891,0,0,1212
Pumas,9258,0,0,13
Ravens,5356,0,0,3343
Rayados,2173,0,5836,45
SpotifyWrapped,11078,0,0,1242
SystemofaDown,12435,0,0,0
Trump,19087,0,0,0
Viena,12590,0,0,0
Worlds2020,4304,21,0,7789
Yakult,10376,0,0,0
