,0,1,2,3
#1MTrajeados,0.03901014742485162,0.0,0.0,0.40736936705610477
#AMLOLujoDePresidente,0.18452039058012637,0.0,0.0,0.2865579663628194
#ARMY,0.032835535133065294,1.0,0.0,0.0
#AntorchaAyudaATabasco,0.06973961324909056,0.0,0.0,0.06765951983566569
#AvisoCovidEdomex,0.21185142638330462,0.0,0.0,0.0
#BuenFinSeguro,0.1724104920543749,0.0,0.0,0.0
#ByeByeTrump,0.6012827876699216,0.0,0.0,0.0
#Confetti,0.05126364158529581,0.0,0.0,0.4674541019386314
#CovidDerrotaAPuebla,0.02125215393452039,0.0,0.0,0.15367826421877007
#CuidemosTodosDeTodos,0.02431552747463144,0.8922596475574393,0.0,0.0
#DiaInternacionalDelHombre,0.49387325291977785,0.0,0.0,0.0
#Elecciones2020,0.48300784989469653,0.0,0.0,0.0
#Fakeministas,0.09161401493394601,0.0,0.037394136807817585,0.4312491975863397
#FelizLunes,0.6148765077541644,0.0,0.0,0.0582873282834767
#FelizMartes,0.10247941795902737,0.32199420031229087,0.8145928338762214,0.004365130311978431
#FelizMiercoles,0.6312464101091327,0.0,0.0,0.010784439594299654
#Fortnite,0.35381964388282594,0.0,0.0,0.0
#GoPackGo,0.05868274937775225,0.0,0.9999999999999999,0.0035948131980998847
#HalaMadrid,0.17987746505839558,0.00044612982377871963,0.5821498371335504,0.1544485813326486
#HappyAuronDay,0.08831131533601379,0.0,0.0,0.41725510335087945
#ImolaGP,0.19552938923990046,0.0,0.0,0.5494928745666966
#JusticeForJohnnyDepp,0.4462952326249282,0.0,0.0,0.0003851585569392734
#JusticiaParaAlexis,0.420400153168677,0.0,0.0,0.022981127230709976
#LaBrujaDelPalacio,0.1800689259046525,0.0,0.011074918566775243,0.1507253819489023
#LordMontajes,0.19615163699023552,0.0,0.0,0.4594941584285531
#MasterChefMx,0.17781926096113346,0.0,0.0,0.0015406342277570935
#MatriomonioIgualitarioPuebla,0.1526421596783458,0.0,0.0,0.1297984336885351
#NiallHoran,0.07701512540685429,0.0,0.0,0.32571575298497885
#OfrendaEdomex,0.017997319548152403,0.9228195404862816,0.0,0.0
#POSITIONS,0.429159486884932,0.0,0.0,0.0
#RatitaNoEstasSolo,0.06251196630289106,0.0,0.0,0.5779946077802028
#SalarioRosa2,0.0,0.8063796564800357,0.0,0.0
#SerieMundial,0.4111621673367796,0.00022306491188935982,0.0,0.5008345102067018
#SiguesTuLopez,0.2511008998659774,0.0,0.0,0.24958274489664914
#SoloLasMujeresMenstruan,0.49717595251771013,0.0,0.0,0.0005135447425856978
#TarjetaRosa,0.2644074286808348,0.0,0.0,0.0
#Temblor,0.45486310549492626,0.0,0.0,0.0
#TheMandalorian,0.5412119471568064,0.0,0.14254071661237783,0.00012838618564642445
#TrumpvsBiden,0.5605494926287574,0.0,0.0,0.0
#UnPeligroParaMexico,0.144744399770247,0.0,0.0015635179153094462,0.12402105533444602
#WonderAtMidnight,0.05681600612674707,0.0,0.0,0.32263448452946464
#XSXFridgeSweeps,0.026900248899100133,0.8147445906758868,0.0,0.0
#Xavi,0.6722668964196822,0.0,0.0,0.00012838618564642445
#nosfaltajorge,0.5529867892016083,0.0,0.0,0.05173963281550905
Best_Buy,0.6077445912310933,0.0,0.0,0.00012838618564642445
Best_Buy_Liquidacion,0.6423990044035995,0.0,0.0,0.0
Bloomberg,0.7153455868274938,0.0,0.0,0.0
Bob_Esponja,0.4403120811793988,0.0,0.0,0.0
Brozo,0.4188206011870572,0.008476466651795673,0.0,0.3882398253947875
Censura,0.6861956729848746,0.0,0.0,0.04365130311978431
Checo,0.6586731763354394,0.0,0.0,0.009885736294774683
Chile,0.692801072180739,0.0,0.0,0.0
Chivas,0.18471185142638333,0.0,0.0,0.6179227115162409
Coco,0.7372678537239135,0.0,0.0,0.0
Cruz_Azul,0.6003254834386369,0.0,0.0,0.0
DiaDeMuertos,0.39402642159678347,0.7168190943564577,0.0,0.0
Dinamarca,0.4974152785755313,0.0,0.0,0.007446398767492618
Europa_League,0.7393260578211757,0.0,0.0,0.0011554756708178201
FONDEN,0.2768523836875359,0.0,0.0,0.46822441905250994
Greta,0.7403790924755888,0.0,0.0,0.0002567723712928489
Halloween,1.0,0.0,0.0,0.0
HereWeGo,0.2969079073329504,0.0,0.0,0.05764539735524458
KAROL,0.159199693662646,0.0,0.0,0.0038515855693927333
Maluma,0.2519146084625694,0.5794111086326121,0.0,0.05982796251123379
Manchester_United,0.6688206011870573,0.0,0.0,0.0
Pfizer,0.8004020677771396,0.0,0.0,0.15560405700346644
Pumas,0.4350469079073329,0.0,0.0,0.0016690204134035178
Ravens,0.24827685238368755,0.0,0.0,0.42919501861599696
Rayados,0.09592188397472716,0.0,0.7603908794788273,0.005777378354089101
SpotifyWrapped,0.5221615929542409,0.0,0.0,0.15945564257285916
SystemofaDown,0.587114685046908,0.0,0.0,0.0
Trump,0.9055140723721999,0.0,0.0,0.0
Viena,0.5945337928393644,0.0,0.0,0.0
Worlds2020,0.19792264981811222,0.002342181574838278,0.0,1.0
Yakult,0.4885602144361478,0.0,0.0,0.0
