N,Network,CentralizationIN,CentralizationOUT,Density,Modularity,Isolates,Label
0,#AvisoCovidEdomex,0.009886871020968746,0.2616469731840988,4.3697265109421204e-05,0.3438673196147135,0.7005148927849834,Fragmented
1,#BuenFinSeguro,0.002841133706877146,0.24268741234919844,4.448712615333215e-05,0.3114332781451848,0.7159108030736778,Fragmented
2,#CovidDerrotaAPuebla,0.03337486364651921,0.7804242400346961,0.005042075942559931,0.283440784001344,0.07274590163934426,OutWard Hub and Spoke
3,#DiaInternacionalDelHombre,0.0036522791883877473,0.04124930888298728,0.00011858353470808797,0.8805818985865262,0.29227965987312726,Clustered
4,#Fakeministas,0.006900112358306617,0.5783990953009601,0.001319351169462446,0.37093867606660463,0.058813865615245604,Clustered
5,#FelizLunes,0.019386469257626868,0.08080428558732106,0.0002418917229539027,0.8033076315604729,0.15517782098726715,Clustered
6,#JusticeForJohnnyDepp,0.007881449126700182,0.08087972793946466,0.00028873206201193084,0.6841440265972563,0.09294106409399179,Clustered
7,#OfrendaEdomex,0.0076344247158380155,0.5775471591275443,8.890415019966946e-05,0.17110721856631353,0.38449190396426575,Clustered
8,#Temblor,0.002071806432084815,0.060622145650111384,0.00016861495798788442,0.808782069015414,0.19807644473924219,Clustered
9,Best Buy Liquidacion,0.0028339176204408333,0.0400560742488802,9.408582153424724e-05,0.9306120879164269,0.2010112293491681,Clustered
10,Best Buy,0.002988909380166457,0.13316604608296725,0.0001384689686316889,0.7776715626114333,0.18028922724087404,Clustered
11,Bloomberg,0.003028767576477783,0.1362214179904382,0.00014872315854100502,0.8479295133513466,0.0621160409556314,Clustered
12,DiaDeMuertos,0.0024445746977458382,0.39367167462258335,0.0001332873333697281,0.8184477360411087,0.09175548205316673,Clustered
13,Dinamarca,0.00810321532424467,0.1238320038365206,0.00031085851297648915,0.6249398253255256,0.08653763440860215,Clustered
14,Greta,0.0028763256463261995,0.13102509913514412,0.00010787565424974644,0.89218817440079,0.11883029073698445,Clustered
15,Halloween,0.0022212146201781606,0.01709678245694986,6.004293860361463e-05,0.9866681185560624,0.15336066891783245,Clustered
16,Pfizer,0.0029292192121624845,0.11956401782449338,0.00013537023676992346,0.8337214341332139,0.06463780097137542,Clustered
17,Viena,0.0030148935019504034,0.05405122010612887,0.0002098575312307065,0.7876027185200613,0.06491384432560904,Clustered
18,#GoPackGo,0.0020203856154712976,0.7119851163905077,0.00022643422540066107,0.4123772120718319,0.15610796772099064,OutWard Hub and Spoke
19,#HalaMadrid,0.003371997348867943,0.43139243100831093,0.0003907833343564772,0.4580611521396654,0.07441681125891653,Clustered
20,#ImolaGP,0.003418601920953242,0.4283851188110863,0.0003720368738927322,0.5445824415779134,0.12129324546952223,Clustered
