type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,0.5277465581893921,-0.17735111713409424,0.07179881632328033,0.8416562676429749,-1.0382561683654785,-0.6748974919319153,-0.29912978410720825,0.6826434135437012,0.9062306880950928,-0.2578510046005249,0.9191539883613586,-0.7802164554595947,-0.34694942831993103,-0.22633831202983856,0.08394964039325714,-0.7389147281646729,0.45532527565956116,0.5800188183784485,0.8658835887908936,-0.11008449643850327,-0.02907904051244259,0.284877210855484,-0.5068506002426147,0.12019294500350952,-0.6472522020339966,-0.19313672184944153,-0.09563563764095306,0.008501147851347923,0.06104808673262596,-1.0712653398513794,-0.7594383358955383,0.2803678810596466,0.21403592824935913,-0.21508875489234924,-1.013302206993103,0.4975306987762451,-0.9959966540336609,0.9320236444473267,-0.35589247941970825,-0.1715986728668213,0.22851474583148956,-0.4637153744697571,0.6702998280525208,-0.8669195175170898,0.1817638874053955,1.2839776277542114,-0.6990067362785339,-0.49184995889663696,0.18185970187187195,0.4518063962459564,-0.8590984344482422,0.21344059705734253,0.08289925754070282,0.35860925912857056,0.7577236890792847,-0.7406354546546936,0.3492603898048401,-0.4717310070991516,0.36720651388168335,-0.42561978101730347,-0.6316893696784973,-0.4999389052391052,-0.5464047193527222,-0.4651929438114166,-0.6752893924713135,-0.313747376203537,0.28131890296936035,0.07235721498727798,-0.2095503807067871,0.4334162771701813,-1.094173550605774,0.012355717830359936,1.1057767868041992,0.17111563682556152,0.10075511783361435,0.5117767453193665,-0.02739858068525791,0.9358447194099426,-0.08912095427513123,-0.056759633123874664,0.15505315363407135,-0.3388918936252594,0.34396645426750183,0.5118805766105652,-0.6172229647636414,0.6494302153587341,-0.795509397983551,-0.030114157125353813,0.8201771974563599,0.44224369525909424,0.9147731065750122,0.7186407446861267,0.6500262022018433,-0.2491886019706726,-0.5104026198387146,-0.4431208670139313,0.8001947402954102,0.3461936414241791,-0.8268573880195618,-0.4978073537349701,-0.6713023781776428,0.6107041239738464,0.37065500020980835,-0.5755137205123901,-0.06823151558637619,-0.09753842651844025,0.5540407299995422,0.23942725360393524,0.6808361411094666,0.10746703296899796,-0.15423420071601868,-1.1530073881149292,-0.664018452167511,-0.051393061876297,0.5718278288841248,-0.22124944627285004,0.48906728625297546,0.1708419919013977,-0.6092720031738281,0.5814321041107178,0.12839657068252563,0.5227413177490234,-0.5817617774009705,-0.397648423910141,0.8156430721282959,-0.7911633849143982,0.42644935846328735,-0.6521145701408386
1,0.46074286103248596,-0.15844736993312836,0.06292739510536194,0.7368874549865723,-0.907860517501831,-0.5873274803161621,-0.2614465355873108,0.5996085405349731,0.7898375988006592,-0.22389815747737885,0.8087507486343384,-0.6823175549507141,-0.3084276616573334,-0.19479864835739136,0.07368537783622742,-0.6500177383422852,0.39472371339797974,0.5079503059387207,0.7615993618965149,-0.09512484073638916,-0.028401408344507217,0.24755391478538513,-0.4414180815219879,0.1054391860961914,-0.564825177192688,-0.16965825855731964,-0.08189332485198975,0.002827260410413146,0.04967908188700676,-0.9387769103050232,-0.6695879101753235,0.24749983847141266,0.18903112411499023,-0.1902284175157547,-0.8872706890106201,0.4363313913345337,-0.8730982542037964,0.8190197944641113,-0.31081604957580566,-0.14684493839740753,0.20076307654380798,-0.4066683053970337,0.5872192978858948,-0.7615417242050171,0.15455281734466553,1.1252233982086182,-0.6101529002189636,-0.42735224962234497,0.15623673796653748,0.39454174041748047,-0.7483280301094055,0.1817125380039215,0.07542643696069717,0.31671980023384094,0.6678979396820068,-0.6518290638923645,0.30562373995780945,-0.41353362798690796,0.3181121051311493,-0.3689359128475189,-0.5509502291679382,-0.43715789914131165,-0.4742499589920044,-0.41125503182411194,-0.5902875661849976,-0.271564245223999,0.24787916243076324,0.060068123042583466,-0.18661920726299286,0.3834918439388275,-0.9505228996276855,0.007466536480933428,0.9616941809654236,0.1558658629655838,0.09127635508775711,0.4537074565887451,-0.024303162470459938,0.8155345916748047,-0.0789165198802948,-0.048106979578733444,0.13050909340381622,-0.30107420682907104,0.30185040831565857,0.4487181603908539,-0.5409313440322876,0.5684059262275696,-0.6972118020057678,-0.02781827002763748,0.7150704860687256,0.38678333163261414,0.800121545791626,0.6301041841506958,0.5705553889274597,-0.2179567664861679,-0.4447399973869324,-0.38330021500587463,0.6963494420051575,0.30531951785087585,-0.7240864634513855,-0.431500643491745,-0.5837284922599792,0.530394971370697,0.3213655650615692,-0.502131998538971,-0.05948011577129364,-0.08475630730390549,0.48314204812049866,0.20784814655780792,0.59798264503479,0.09029565751552582,-0.12967565655708313,-1.0090659856796265,-0.5797882676124573,-0.04275178909301758,0.5008787512779236,-0.19441881775856018,0.43065476417541504,0.14586806297302246,-0.5289742350578308,0.5063025951385498,0.11286662518978119,0.4597400426864624,-0.5088306069374084,-0.3442394435405731,0.7135656476020813,-0.6964374780654907,0.3668539226055145,-0.5704865455627441
2,0.3704952597618103,-0.12088844180107117,0.04872831702232361,0.579432487487793,-0.7171400785446167,-0.46914488077163696,-0.214453786611557,0.47065314650535583,0.6223362684249878,-0.17882700264453888,0.6317283511161804,-0.5398821234703064,-0.24231460690498352,-0.15884922444820404,0.06029275059700012,-0.5198026299476624,0.31149691343307495,0.40224170684814453,0.6016222834587097,-0.0753725990653038,-0.014723174273967743,0.18775422871112823,-0.34858912229537964,0.08365975320339203,-0.4502795338630676,-0.134007528424263,-0.06558970361948013,0.006834471598267555,0.041930243372917175,-0.7415246367454529,-0.5183522701263428,0.1987682431936264,0.15429359674453735,-0.14286518096923828,-0.7034542560577393,0.34742820262908936,-0.690574586391449,0.6456473469734192,-0.24752424657344818,-0.11961087584495544,0.1632152795791626,-0.31974563002586365,0.46423980593681335,-0.6041508316993713,0.12548834085464478,0.8913185596466064,-0.4838583469390869,-0.34063276648521423,0.1222873404622078,0.31797462701797485,-0.5941681861877441,0.14312675595283508,0.05631234124302864,0.2436373233795166,0.5259661674499512,-0.5130165219306946,0.23654711246490479,-0.32664918899536133,0.24899224936962128,-0.2965530455112457,-0.43334683775901794,-0.3443858325481415,-0.3743009567260742,-0.32444506883621216,-0.468691885471344,-0.2186599224805832,0.19590559601783752,0.05103417485952377,-0.14457842707633972,0.29939982295036316,-0.7532459497451782,0.007160065695643425,0.7689191102981567,0.11601099371910095,0.07003499567508698,0.35408815741539,-0.020006343722343445,0.6440621614456177,-0.06318975239992142,-0.04033724591135979,0.09892956167459488,-0.2397570013999939,0.24480995535850525,0.3555631637573242,-0.42705678939819336,0.4475642144680023,-0.5488969087600708,-0.017068004235625267,0.5710906982421875,0.3071807324886322,0.6308923363685608,0.5002853274345398,0.44644081592559814,-0.16982440650463104,-0.35498520731925964,-0.31460005044937134,0.5552743077278137,0.23996886610984802,-0.569714367389679,-0.3427054286003113,-0.4642588794231415,0.41475194692611694,0.25618258118629456,-0.3982277512550354,-0.046690113842487335,-0.0722288116812706,0.37968435883522034,0.1564825177192688,0.4660184681415558,0.06674005836248398,-0.10587367415428162,-0.7908714413642883,-0.4612821638584137,-0.038108665496110916,0.3907640874385834,-0.14712579548358917,0.3343728482723236,0.11430180072784424,-0.4252749979496002,0.4021252393722534,0.09051509946584702,0.3589750826358795,-0.4010980725288391,-0.27631238102912903,0.5673118829727173,-0.5480095148086548,0.2882423996925354,-0.4438251554965973
3,0.4829206168651581,-0.17021186649799347,0.06216533109545708,0.7764315009117126,-0.9516695141792297,-0.613257646560669,-0.2698630392551422,0.6295295357704163,0.8354761004447937,-0.22805695235729218,0.846943199634552,-0.7100079655647278,-0.3154715895652771,-0.20537619292736053,0.08131717145442963,-0.6776135563850403,0.4166161119937897,0.5318217873573303,0.7956534028053284,-0.098528191447258,-0.030554361641407013,0.2682577967643738,-0.46006545424461365,0.11148227006196976,-0.5912179946899414,-0.1675657331943512,-0.0940779373049736,0.002299787010997534,0.0552067793905735,-0.9809460043907166,-0.7023624777793884,0.25922146439552307,0.199153870344162,-0.20150116086006165,-0.9342612624168396,0.45760083198547363,-0.9123703837394714,0.8597326278686523,-0.32699671387672424,-0.15518641471862793,0.20979441702365875,-0.43044453859329224,0.6137486696243286,-0.7989826202392578,0.164657324552536,1.177329421043396,-0.6449004411697388,-0.45245295763015747,0.16390931606292725,0.40691155195236206,-0.7894559502601624,0.1971970796585083,0.07630724459886551,0.3297656178474426,0.6908107995986938,-0.6864138245582581,0.3227955996990204,-0.4339246451854706,0.33877208828926086,-0.38790813088417053,-0.5805776119232178,-0.4601627290248871,-0.4987359046936035,-0.42690950632095337,-0.6222406625747681,-0.2900301516056061,0.2561808228492737,0.06535210460424423,-0.18930292129516602,0.3969832956790924,-1.0046837329864502,0.004294607322663069,1.0073093175888062,0.1634245216846466,0.09066107124090195,0.47395575046539307,-0.019566232338547707,0.8639065027236938,-0.08125078678131104,-0.04792577400803566,0.14264002442359924,-0.3095346689224243,0.3110348880290985,0.46430057287216187,-0.5644327402114868,0.5983628630638123,-0.7291374206542969,-0.030151890590786934,0.7471864819526672,0.40427321195602417,0.8400508165359497,0.661162257194519,0.5962797999382019,-0.23164105415344238,-0.4663964807987213,-0.4010894298553467,0.7303161025047302,0.3212988078594208,-0.7630772590637207,-0.4528522193431854,-0.6110962629318237,0.5620092153549194,0.33864182233810425,-0.5287001132965088,-0.06299913674592972,-0.08389580249786377,0.5073230862617493,0.22416876256465912,0.6307666897773743,0.09862916171550751,-0.1386454999446869,-1.0601664781570435,-0.6105103492736816,-0.045337554067373276,0.5277272462844849,-0.19831280410289764,0.4543805718421936,0.15873688459396362,-0.5590510368347168,0.5366259813308716,0.12066137045621872,0.481502890586853,-0.5304709672927856,-0.3629230558872223,0.7430640459060669,-0.7305514812469482,0.3903190493583679,-0.5984340906143188
4,0.5051818490028381,-0.17545844614505768,0.06666198372840881,0.8098979592323303,-0.993462324142456,-0.6432318091392517,-0.28426459431648254,0.6560816764831543,0.8700231909751892,-0.23663555085659027,0.8814464807510376,-0.7410224676132202,-0.328411340713501,-0.21297584474086761,0.08492760360240936,-0.7048659920692444,0.435208261013031,0.552820086479187,0.8287040591239929,-0.10343962162733078,-0.03508783131837845,0.28098347783088684,-0.4790521264076233,0.11053966730833054,-0.6194561123847961,-0.17820289731025696,-0.09625008702278137,0.00803945679217577,0.05820323899388313,-1.0262391567230225,-0.7339457273483276,0.2673199772834778,0.2033739537000656,-0.20522081851959229,-0.9751536846160889,0.4745042622089386,-0.9525427222251892,0.9000344276428223,-0.34179937839508057,-0.16308489441871643,0.21898256242275238,-0.4451872408390045,0.6383090019226074,-0.8348124027252197,0.17033423483371735,1.2295746803283691,-0.6766709685325623,-0.4663623869419098,0.1708090454339981,0.42487406730651855,-0.8261668682098389,0.20398680865764618,0.07537537813186646,0.34310728311538696,0.7232433557510376,-0.7141152024269104,0.33894598484039307,-0.4539784789085388,0.352544367313385,-0.40489116311073303,-0.6071622967720032,-0.4786756932735443,-0.5185269713401794,-0.4455510675907135,-0.6470248699188232,-0.2981385290622711,0.26782354712486267,0.0702596977353096,-0.20194783806800842,0.4101307690143585,-1.0503325462341309,0.0027125105261802673,1.053400993347168,0.1719052493572235,0.09112117439508438,0.49150019884109497,-0.021230675280094147,0.8993880152702332,-0.09183306246995926,-0.05087846890091896,0.15196433663368225,-0.32245030999183655,0.32765114307403564,0.48505333065986633,-0.5915675759315491,0.6305668950080872,-0.7612062096595764,-0.028433827683329582,0.7781256437301636,0.419914186000824,0.8726603984832764,0.6930070519447327,0.6183940172195435,-0.24332523345947266,-0.4890342354774475,-0.416967511177063,0.7672749757766724,0.3348742425441742,-0.7983618974685669,-0.4740511476993561,-0.6357634663581848,0.5859018564224243,0.35593268275260925,-0.5486640334129333,-0.06197509542107582,-0.08692909777164459,0.5291638970375061,0.23218750953674316,0.6599437594413757,0.10139528661966324,-0.1446910798549652,-1.1085877418518066,-0.6372791528701782,-0.0435023307800293,0.549854576587677,-0.205636665225029,0.46994107961654663,0.161970853805542,-0.5790302157402039,0.5572953224182129,0.12506826221942902,0.5039882659912109,-0.5597290992736816,-0.374632865190506,0.7760903835296631,-0.7564603686332703,0.40786370635032654,-0.6290634870529175
5,0.22897407412528992,-0.07952456921339035,0.03279911354184151,0.3618113100528717,-0.44546565413475037,-0.2842302620410919,-0.13002365827560425,0.2916848659515381,0.38469362258911133,-0.10422204434871674,0.3907446265220642,-0.3328072428703308,-0.14567860960960388,-0.09138301014900208,0.03914053738117218,-0.3133600652217865,0.1894872635602951,0.244259774684906,0.3660990297794342,-0.0474105142056942,-0.017108039930462837,0.12457332760095596,-0.21700242161750793,0.050779279321432114,-0.2712481617927551,-0.077437624335289,-0.038797661662101746,0.003669666824862361,0.02339993603527546,-0.45273277163505554,-0.3282032608985901,0.11775822192430496,0.09375292807817459,-0.09342056512832642,-0.4334253966808319,0.2157406061887741,-0.42151692509651184,0.39676761627197266,-0.14975792169570923,-0.07335380464792252,0.09999842196702957,-0.2000095099210739,0.28314101696014404,-0.373370498418808,0.07918745279312134,0.5457423329353333,-0.3008788228034973,-0.206435889005661,0.07321235537528992,0.18928556144237518,-0.36716359853744507,0.08729387074708939,0.03228138014674187,0.1550268530845642,0.3216511905193329,-0.3192945122718811,0.14596262574195862,-0.20531852543354034,0.1601381152868271,-0.17859402298927307,-0.27151811122894287,-0.21171289682388306,-0.2297620326280594,-0.1997973620891571,-0.28614386916160583,-0.13280493021011353,0.12323594838380814,0.03448224067687988,-0.08602742105722427,0.1813218891620636,-0.46256914734840393,0.002301598433405161,0.4730837345123291,0.07154091447591782,0.04377639666199684,0.2183864265680313,-0.008417760021984577,0.3972705900669098,-0.03631528094410896,-0.022443488240242004,0.06513119488954544,-0.14609722793102264,0.1475256085395813,0.21738679707050323,-0.2595504820346832,0.2797698974609375,-0.342106431722641,-0.014313047751784325,0.34685584902763367,0.18923042714595795,0.38772228360176086,0.3030412495136261,0.2775871753692627,-0.10774731636047363,-0.2127671241760254,-0.18389053642749786,0.3430754244327545,0.14717133343219757,-0.35721227526664734,-0.2072143405675888,-0.2795988619327545,0.2619209587574005,0.1623677909374237,-0.24366360902786255,-0.03243498131632805,-0.036715421825647354,0.23505984246730804,0.10030374675989151,0.29406559467315674,0.04416079446673393,-0.06092626973986626,-0.48978888988494873,-0.28621333837509155,-0.02234967052936554,0.24294830858707428,-0.0953758955001831,0.20865179598331451,0.07452276349067688,-0.2579864263534546,0.24781106412410736,0.05240771919488907,0.22217823565006256,-0.24460704624652863,-0.16677884757518768,0.344718873500824,-0.3386482298374176,0.1832159161567688,-0.2775619626045227
6,0.3613094985485077,-0.11867327988147736,0.050310682505369186,0.5678555369377136,-0.7034697532653809,-0.4479544758796692,-0.20381666719913483,0.46715760231018066,0.6141659021377563,-0.17410427331924438,0.6211442947387695,-0.5262399911880493,-0.2407761663198471,-0.15441623330116272,0.05891493707895279,-0.5050098896026611,0.3061200976371765,0.3893679082393646,0.5876789689064026,-0.07238560169935226,-0.02128569781780243,0.19423282146453857,-0.34221982955932617,0.08492454886436462,-0.4343566298484802,-0.12961317598819733,-0.06262359023094177,0.0016765377949923277,0.037519801408052444,-0.7265112996101379,-0.5147386193275452,0.1903117150068283,0.15066930651664734,-0.15073537826538086,-0.6872586011886597,0.3392779529094696,-0.6706390380859375,0.6287510991096497,-0.2458713799715042,-0.11009993404150009,0.1536768227815628,-0.31519031524658203,0.4551539123058319,-0.5889142155647278,0.1202644556760788,0.8671116828918457,-0.4749225378036499,-0.33792856335639954,0.12296649813652039,0.30112022161483765,-0.5771740078926086,0.14040276408195496,0.05483108386397362,0.23972202837467194,0.5171685218811035,-0.5064937472343445,0.23105019330978394,-0.32299792766571045,0.24972203373908997,-0.2879869043827057,-0.4210413992404938,-0.3373757600784302,-0.36928749084472656,-0.3201664388179779,-0.4538591206073761,-0.21606305241584778,0.18865527212619781,0.0507376529276371,-0.1409970223903656,0.29729682207107544,-0.7370571494102478,0.006630557589232922,0.7453712821006775,0.11570028960704803,0.07292474806308746,0.3499079942703247,-0.016378015279769897,0.6319998502731323,-0.05229585990309715,-0.04055790230631828,0.09995397925376892,-0.23254618048667908,0.2312186360359192,0.3472348153591156,-0.40990161895751953,0.43527457118034363,-0.5337339639663696,-0.017181364819407463,0.5533628463745117,0.3027194142341614,0.6161379814147949,0.48239174485206604,0.4366569519042969,-0.16986477375030518,-0.34444019198417664,-0.30373668670654297,0.540143609046936,0.2392520010471344,-0.5616327524185181,-0.3370142877101898,-0.45233505964279175,0.4100411534309387,0.2525498569011688,-0.38713935017585754,-0.047637686133384705,-0.0621165931224823,0.3734252452850342,0.15580138564109802,0.454477459192276,0.06687357276678085,-0.10032907873392105,-0.773510754108429,-0.4526674747467041,-0.039406850934028625,0.3856343626976013,-0.14842917025089264,0.33472776412963867,0.11468720436096191,-0.4151496887207031,0.3929753303527832,0.08827310800552368,0.35496222972869873,-0.38819751143455505,-0.26687610149383545,0.5543565154075623,-0.5373998284339905,0.28265485167503357,-0.4370186924934387
7,0.36323773860931396,-0.11380692571401596,0.047380466014146805,0.5675627589225769,-0.7033481597900391,-0.45399248600006104,-0.20612774789333344,0.4641093313694,0.6128541827201843,-0.17846135795116425,0.6172223091125488,-0.5263897776603699,-0.23965777456760406,-0.15394939482212067,0.0583852082490921,-0.5065765380859375,0.30726075172424316,0.3927963376045227,0.5886939167976379,-0.07815442979335785,-0.01527673564851284,0.18633386492729187,-0.3457435071468353,0.07979415357112885,-0.4425531029701233,-0.1320727914571762,-0.06005258485674858,0.004240321461111307,0.04222695156931877,-0.7228935360908508,-0.513666033744812,0.19477498531341553,0.146815225481987,-0.14280344545841217,-0.6903185248374939,0.33710378408432007,-0.6794875860214233,0.6276934742927551,-0.2427496314048767,-0.11651156097650528,0.16006842255592346,-0.31907764077186584,0.44966837763786316,-0.587371826171875,0.12103687971830368,0.8727641701698303,-0.4705538749694824,-0.33874964714050293,0.11906122416257858,0.30909618735313416,-0.5795518755912781,0.14341779053211212,0.05606139078736305,0.23813976347446442,0.5201921463012695,-0.4997507631778717,0.23593302071094513,-0.31630584597587585,0.24711064994335175,-0.28667202591896057,-0.42244240641593933,-0.34014567732810974,-0.36614739894866943,-0.31827276945114136,-0.46016910672187805,-0.21488294005393982,0.1895843744277954,0.04520374909043312,-0.13843923807144165,0.296438604593277,-0.738684892654419,0.005075477994978428,0.749326765537262,0.11889752745628357,0.07148634642362595,0.34973421692848206,-0.019459962844848633,0.6303497552871704,-0.05599408969283104,-0.03900481387972832,0.0998196005821228,-0.23672614991664886,0.23603254556655884,0.35141706466674805,-0.4156666696071625,0.43452903628349304,-0.5367918014526367,-0.016383295878767967,0.5578838586807251,0.30210137367248535,0.6187424659729004,0.4862668812274933,0.44053173065185547,-0.17261551320552826,-0.34577125310897827,-0.30080512166023254,0.5439975261688232,0.23846028745174408,-0.5582388043403625,-0.3373268246650696,-0.45583251118659973,0.41067880392074585,0.24955080449581146,-0.38712483644485474,-0.049677975475788116,-0.06581086665391922,0.3776610791683197,0.15930931270122528,0.45808202028274536,0.06770214438438416,-0.1028856411576271,-0.7805641889572144,-0.44727593660354614,-0.0339481420814991,0.3855254650115967,-0.14525558054447174,0.3301636874675751,0.11250893026590347,-0.4154675304889679,0.3882788121700287,0.08228497207164764,0.35598224401474,-0.38932153582572937,-0.27234897017478943,0.5535740256309509,-0.5391921401023865,0.28307345509529114,-0.4397556781768799
8,0.5202323198318481,-0.17372187972068787,0.0728209838271141,0.8272691369056702,-1.0186333656311035,-0.6660583019256592,-0.2953750789165497,0.6727695465087891,0.894844114780426,-0.25497403740882874,0.9039055109024048,-0.7671191096305847,-0.3424910306930542,-0.22192294895648956,0.08175784349441528,-0.7295800447463989,0.4470406174659729,0.5729302763938904,0.855126678943634,-0.11062543839216232,-0.029614098370075226,0.27879419922828674,-0.4990845024585724,0.11931604892015457,-0.6380395293235779,-0.19115693867206573,-0.09180601686239243,0.01008596085011959,0.05930349975824356,-1.0526994466781616,-0.7441586256027222,0.27431443333625793,0.21080534160137177,-0.20971615612506866,-0.9974624514579773,0.4890751838684082,-0.983368456363678,0.9168543815612793,-0.34958988428115845,-0.17147429287433624,0.22357510030269623,-0.45497435331344604,0.6594870686531067,-0.8499739766120911,0.180991992354393,1.2662733793258667,-0.6896138787269592,-0.4835436940193176,0.18027861416339874,0.44666028022766113,-0.8448442816734314,0.20782935619354248,0.08277315646409988,0.3515985310077667,0.7462471723556519,-0.7270501255989075,0.3462522625923157,-0.4637221395969391,0.3599098026752472,-0.4187082350254059,-0.621309757232666,-0.49032852053642273,-0.5391548871994019,-0.4556671679019928,-0.6633883714675903,-0.30900347232818604,0.2758496105670929,0.07172006368637085,-0.20810166001319885,0.42523273825645447,-1.0765795707702637,0.014684323221445084,1.089810848236084,0.16817282140254974,0.09992292523384094,0.5052118897438049,-0.02846500650048256,0.9177172780036926,-0.09263035655021667,-0.056571170687675476,0.15255235135555267,-0.3346233367919922,0.34075430035591125,0.5056861639022827,-0.6103984713554382,0.6381752490997314,-0.7863492965698242,-0.029860390350222588,0.8055198192596436,0.43601903319358826,0.900550901889801,0.7075733542442322,0.6393555402755737,-0.24642321467399597,-0.5047374367713928,-0.43631771206855774,0.7884804606437683,0.342000275850296,-0.8116534352302551,-0.4946517050266266,-0.6597360968589783,0.6003932356834412,0.363836407661438,-0.5667428374290466,-0.06732505559921265,-0.09499143809080124,0.5478034019470215,0.23695851862430573,0.6692740321159363,0.10643366724252701,-0.15327535569667816,-1.1356972455978394,-0.6533483266830444,-0.050551582127809525,0.5635801553726196,-0.2160230427980423,0.4801187813282013,0.1658419370651245,-0.6014067530632019,0.5704835653305054,0.12530001997947693,0.5153010487556458,-0.572279155254364,-0.39326709508895874,0.80515456199646,-0.7791376113891602,0.4190250635147095,-0.6443573832511902
9,0.46654072403907776,-0.1654266119003296,0.06224732846021652,0.7444413900375366,-0.9146585464477539,-0.5775237083435059,-0.26047658920288086,0.6025257706642151,0.7953435182571411,-0.21917979419231415,0.8078219294548035,-0.6802021861076355,-0.3115241229534149,-0.19943073391914368,0.0760359838604927,-0.6523916721343994,0.39227285981178284,0.5082359910011292,0.760288655757904,-0.0949096754193306,-0.027118699625134468,0.2540576756000519,-0.4429020583629608,0.10862141102552414,-0.5644024014472961,-0.1641838401556015,-0.08986090868711472,-0.0020302841439843178,0.049468036741018295,-0.9398949146270752,-0.6721949577331543,0.2483680695295334,0.1913425177335739,-0.1938095986843109,-0.8916923999786377,0.4380706250667572,-0.8753386735916138,0.8248884081840515,-0.31895712018013,-0.1438237428665161,0.20284175872802734,-0.4158511757850647,0.5866695046424866,-0.7676907777786255,0.15687045454978943,1.1280039548873901,-0.6157380938529968,-0.4336792826652527,0.15003910660743713,0.38723525404930115,-0.7536695003509521,0.1795417070388794,0.07547715306282043,0.31625646352767944,0.6660798192024231,-0.6562299132347107,0.3004719018936157,-0.4174969494342804,0.3188118040561676,-0.3755335211753845,-0.550544798374176,-0.44211453199386597,-0.4714508056640625,-0.4163743555545807,-0.5897756218910217,-0.276604026556015,0.24240493774414062,0.06472787261009216,-0.1842467039823532,0.38370591402053833,-0.9490191340446472,0.005301269702613354,0.9607159495353699,0.1545737385749817,0.08953513950109482,0.4538058936595917,-0.018024617806077003,0.8239331245422363,-0.06989077478647232,-0.04842099919915199,0.1304931491613388,-0.3005988597869873,0.2992834150791168,0.44439607858657837,-0.5367119908332825,0.5721737146377563,-0.6889112591743469,-0.027862677350640297,0.719325602054596,0.39091816544532776,0.8022994995117188,0.6312494874000549,0.5678443908691406,-0.2182176560163498,-0.442065954208374,-0.38302305340766907,0.6982119679450989,0.30497312545776367,-0.7291508316993713,-0.42334139347076416,-0.5812577605247498,0.5330875515937805,0.3254849910736084,-0.5056414008140564,-0.05977699160575867,-0.08184332400560379,0.4819634258747101,0.20651262998580933,0.5956841707229614,0.0879179909825325,-0.1266995370388031,-1.0120339393615723,-0.5890262722969055,-0.0435701385140419,0.4987793564796448,-0.1900136023759842,0.43417054414749146,0.14922663569450378,-0.5289207696914673,0.5086778998374939,0.11213332414627075,0.45669442415237427,-0.5071591734886169,-0.33979249000549316,0.7093442678451538,-0.6999031901359558,0.366800993680954,-0.5628646612167358
