	input//#ImolaGP.edges	input//#BuenFinSeguro.edges	input//Maluma.edges	input//KAROL.edges	input//#UnPeligroParaMexico.edges	input//#SiguesTuLopez.edges	input//#MasterChefMx.edges	input//SystemofaDown.edges	input//Halloween.edges	input//Worlds2020.edges	input//Chile.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#Elecciones2020.edges	input//Rayados.edges	input//Viena.edges	input//#TarjetaRosa.edges	input//#Fakeministas.edges	input//Pfizer.edges	input//#JusticeForJohnnyDepp.edges	input//#TheMandalorian.edges	input//#POSITIONS.edges	input//#LordMontajes.edges	input//Trump.edges	input//#LaBrujaDelPalacio.edges	input//Coco.edges	input//FONDEN.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//#1MTrajeados.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#JustiiciaParaAlexis.edges	input//#OfrendaEdomex.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#HappyAuronDay.edges	input//#Confetti.edges	input//#FelizMartes.edges	input//Pumas.edges	input//Chivas.edges	input//#nosfaltajorge.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//Yakult.edges	input//Manchester_United.edges	input//#SerieMundial.edges	input//#ByeByeTrump.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//#Temblor.edges
input//#ImolaGP.edges	0	0.05669796885231648	0.0752958622961436	0.05302046483226652	0.09621073562171434	0.12693398130356748	0.08069788813499335	0.03717355452330262	0.04529459248005763	0.04411459878089796	0.05323195456996599	0.059675614316924364	0.043011238422524634	0.051375436217210524	0.04414382701886177	0.07387759302690544	0.09941016254621593	0.04070839945232374	0.09568847119113455	0.052976134380970374	0.054761725174762854	0.04193148263226021	0.04523252338035266	0.04656432796121446	0.042220387538391524	0.0688330676069977	0.08877002043199655	0.05367774271080683	0.0492881792808153	0.08915325574481747	0.07232081530422374	0.0446779532211371	0.054018844223081786	0.0580782079925366	0.11187360014672643	0.09326577693711824	0.03962251732211053	0.051010800140556256	0.06151180148614788	0.06340334644309331	0.05412899652504244	0.07278477275147888	0.033441704521393834	0.06554540250686114	0.0366838411362127	0.0385871065903276	0.039621952885101175	0.040272571336215535	0.04135837301677092	0.06358024918316141
input//#BuenFinSeguro.edges	0.05669796885231648	0	0.09858800967694548	0.016527856350130432	1.0	1.0	1.0	0.07529435267584683	0.06730492719843761	0.08995569125067893	0.1000144357871352	0.06411944684752235	0.06221518372143631	0.07204937549549173	0.05049653080682448	1.0	0.16602045066424265	0.0833679266732208	1.0	0.11260542140527396	0.0991168947139941	0.03426434669039613	0.07265910411352705	0.0333108494102029	0.0905208138088639	1.0	0.1294955537471847	0.09498264681671875	0.07514243994609571	1.0	1.0	0.06815560621275929	1.0	0.08445203491791142	1.0	1.0	0.04374588754365716	0.051681920274567306	0.10892433119843214	0.13071865349149014	0.08470150543225852	1.0	0.07037217356260406	1.0	0.07357369330696939	0.06354275735983528	0.052998443455280264	0.07049319028074197	0.06570785324650052	0.10747426979441788
input//Maluma.edges	0.0752958622961436	0.09858800967694548	0	0.08837738070857792	0.13823679769770192	1.0	1.0	0.10340683111669369	1.0	0.09228251021919442	1.0	1.0	0.061909008236834095	0.08815133325817548	0.09130387058111022	0.13565751865337583	1.0	0.09190588857402959	0.14432424068361016	0.1005540432006673	0.08348737879004275	0.09054362089183587	0.06512712812453514	0.10265579373885125	0.09594625889230635	0.08106399424172617	0.13853637262977503	0.11642739635610555	0.0756672802527607	1.0	0.0841055402324371	0.10583697205598286	0.058492557903061404	1.0	0.15128847159543957	0.1365187871742537	0.0841110095790627	0.06517225953172534	0.11546617109185331	0.08675847767094325	1.0	0.10318409850272992	0.08269443617973693	0.103403357512593	0.08772743580457187	0.0743523987800856	0.0861863249216619	0.06861704250477052	0.06658820682867761	0.07414456432599836
input//KAROL.edges	0.05302046483226652	0.016527856350130432	0.08837738070857792	0	1.0	1.0	1.0	0.06633533437801864	0.052235294198399895	0.07149928450649834	0.08371062707168331	0.07836803367428946	0.04698663583208773	0.06567722063718406	0.03689972914753192	1.0	0.14678457729502414	0.06706673912101069	1.0	0.10067611485227546	0.090603662435227	0.04405287542725844	0.05641008563039418	0.04763785640462048	0.07469732303061594	1.0	0.10755770585144875	0.09436803130056404	0.070537436725434	1.0	1.0	0.058673067158209524	1.0	0.07528981478067209	1.0	1.0	0.029929350197309912	0.05983607036783578	0.09639701949642232	0.12499475717252895	0.07703743641437988	1.0	0.05916277265616532	1.0	0.060384077982361783	0.05549280648231769	0.04095836781915663	0.05893193586771894	0.05798458403469109	0.09051380622928684
input//#UnPeligroParaMexico.edges	0.09621073562171434	1.0	0.13823679769770192	1.0	0	1.0	0.10474485791651023	0.12050424669382409	0.09401282041352677	0.08340856931884733	0.1205283072389729	0.2555672498240552	0.10402591494628655	0.1315071469671404	0.10618935295781218	1.0	1.0	0.06833387563199089	1.0	0.0941656752117026	0.08466849623186978	0.1350505473102247	0.10938981790919955	0.18324211192315665	0.07259526174429498	0.15876015267159937	1.0	0.13064532837449983	0.08174831186420306	1.0	1.0	0.1740971303389578	1.0	0.10846520844527063	1.0	0.004576716075770149	0.07792388929025951	0.09636591556954366	0.10111082093032353	0.10872485275102362	0.15361417170384462	0.11107903597228874	0.10235715487398056	1.0	0.08507840489751561	0.11783162263731328	0.13958232678935056	0.08411437750397954	0.08276363061795311	0.11409957810758053
input//#SiguesTuLopez.edges	0.12693398130356748	1.0	1.0	1.0	1.0	0	1.0	0.1543836927973643	1.0	0.1422570075509728	1.0	1.0	0.16701744423160114	0.15787022306501264	0.17436742334725985	1.0	1.0	0.13966544248688728	1.0	0.14218656234203253	0.13913054027794602	1.0	0.1622423663902418	0.21338655047729127	0.1350202755019968	1.0	1.0	0.17091635731275345	1.0	1.0	1.0	1.0	0.15446656158526173	0.11305056121983659	0.11769343550196854	1.0	1.0	0.16320905942690855	0.12994405490983274	0.11564350071234197	1.0	0.13427001279138395	0.14951761043946554	1.0	0.12616399732672634	0.14842695646769033	0.17636192295451425	0.13803220962420404	0.1212797246737991	0.16358112040162776
input//#MasterChefMx.edges	0.08069788813499335	1.0	1.0	1.0	0.10474485791651023	1.0	0	0.10831677760193259	1.0	0.09152800733319555	1.0	1.0	0.10663925611485037	0.12327690976494787	0.12948121230978737	1.0	1.0	0.0806432914560744	0.07757371586071127	0.08653975933674718	0.07184392941457451	1.0	0.08361241490333193	0.13460184532787745	0.08682217491627353	1.0	1.0	0.12456644997688993	0.066269200226306	1.0	1.0	1.0	0.09223917878426269	0.07683887204655437	1.0	0.10517511929579693	1.0	0.09475904112731648	0.118179654680724	0.10747732225322382	1.0	1.0	0.08876857073162092	0.06561464505795878	0.0915002800121566	0.08915827879198501	0.11287195563167984	0.07898052717370418	0.07230504252533554	0.060142881323737685
input//SystemofaDown.edges	0.03717355452330262	0.07529435267584683	0.10340683111669369	0.06633533437801864	0.12050424669382409	0.1543836927973643	0.10831677760193259	0	0.04234314680147033	0.047625029478444825	0.05008027351187527	0.05831391328388624	0.05312585388527857	0.0716830763770554	0.03593837447699022	0.07589125154190057	0.08857497920545099	0.03798340608462747	0.12339408609154734	0.06294935882566233	0.06044287261085368	0.05789271795865836	0.05421742626923287	0.06518367115832346	0.04238651689386874	0.09897810861827883	0.0959988525983726	0.05164531279154938	0.07480128005348985	0.09950592957942683	0.11126950978490513	0.06428422289142144	0.08638837552343503	0.07497775361504933	0.1379963714439444	0.11809718004693792	0.04302666833689184	0.08102765702667503	0.062049557169230884	0.09050170829277249	0.05820221204994458	0.10563856887308731	0.039548192050539166	0.0917683890654386	0.03506610194128035	0.05262106535905475	0.03521706491961207	0.05489539566302948	0.05349559421057981	0.0769922165478576
input//Halloween.edges	0.04529459248005763	0.06730492719843761	1.0	0.052235294198399895	0.09401282041352677	1.0	1.0	0.04234314680147033	0	0.043615779217280326	0.04164194338459293	0.06205577545535168	0.03063358319814513	0.0875416048510459	0.03077131088057905	0.07278501855117314	0.07586248851945276	0.030613557176145223	0.15737183118654097	0.05913710403661854	0.07131059358300851	0.055264812523553086	0.034975991502208204	0.0672748912435297	0.027432769507822696	0.1385341677332036	0.07190294686457999	0.07388811685070618	0.06612688845007397	0.13567168982769418	0.13565300428480287	0.0523929277340226	0.06796886383780532	1.0	0.1667585329572966	0.09238914650309682	0.03505048560277679	0.07328723113627078	0.0722604058662234	0.11078450265643569	0.046866535018881494	0.1352330712252261	0.043383260774153776	0.07109370678174476	0.030885830567880634	0.051201687942332264	0.03552035509665019	0.03899490039324238	0.05473934902835631	0.07049256570064943
input//Worlds2020.edges	0.04411459878089796	0.08995569125067893	0.09228251021919442	0.07149928450649834	0.08340856931884733	0.1422570075509728	0.09152800733319555	0.047625029478444825	0.043615779217280326	0	0.05381441001515441	0.09579564510284921	0.04366589832881862	0.07300633393794753	0.04826563494618774	0.07254536770174314	0.08423966093558222	0.03629403773649076	0.09726968055195251	0.050186450139374617	0.05610927524145426	0.07812375652552639	0.04710575468005529	0.09312445760047827	0.037575417696947055	0.0987103924113083	0.07898842864890732	0.07516676474736472	0.06988541949102467	0.10067118412373888	0.10363144815365	0.07716638628322892	0.07435290056431165	0.0729117108352133	0.11883397227247283	0.0834275048658174	0.053823845572495976	0.08104657820059302	0.059209489103297375	0.08612368065388532	0.061010584228985754	0.10295213808513293	0.04731316719083967	0.07996376630629287	0.043864568042232266	0.05016801545604932	0.04875937931718266	0.039657678404364516	0.0560234917333583	0.060948302328609594
