	input//#ImolaGP.edges	input//#BuenFinSeguro.edges	input//Maluma.edges	input//KAROL.edges	input//#UnPeligroParaMexico.edges	input//#SiguesTuLopez.edges	input//#MasterChefMx.edges	input//SystemofaDown.edges	input//Halloween.edges	input//Worlds2020.edges	input//Chile.edges	input//#MatriomonioIgualitarioPuebla.edges	input//#Elecciones2020.edges	input//Rayados.edges	input//Viena.edges	input//#TarjetaRosa.edges	input//#Fakeministas.edges	input//Pfizer.edges	input//#JusticeForJohnnyDepp.edges	input//#TheMandalorian.edges	input//#POSITIONS.edges	input//#LordMontajes.edges	input//Trump.edges	input//#LaBrujaDelPalacio.edges	input//Coco.edges	input//FONDEN.edges	input//#RatitaNoEstasSolo.edges	input//#XSXFridgeSweeps.edges	input//#1MTrajeados.edges	input//#CovidDerrotaAPuebla.edges	input//Censura.edges	input//#JustiiciaParaAlexis.edges	input//#OfrendaEdomex.edges	input//DiaDeMuertos.edges	input//#SoloLasMujeresMenstruan.edges	input//#HappyAuronDay.edges	input//#Confetti.edges	input//#FelizMartes.edges	input//Pumas.edges	input//Chivas.edges	input//#nosfaltajorge.edges	input//Bob_Esponja.edges	input//#FelizMiercoles.edges	input//Yakult.edges	input//Manchester_United.edges	input//#SerieMundial.edges	input//#ByeByeTrump.edges	input//Greta.edges	input//#TrumpvsBiden.edges	input//#Temblor.edges
input//#ImolaGP.edges	0	0.09061513781622454	0.07764538004383337	0.08364376863161105	0.08399735986427748	0.11581402731054158	0.10440902016522025	0.04501407570621252	0.052719201399950455	0.031519111338360384	0.08182065483168388	0.07149699912581386	0.045325454351868966	0.05126364351495327	0.04925210722900408	0.0785239371378057	0.12353364304073733	0.03613940936305904	0.09823883277135836	0.05192168480223869	0.07409263286752166	0.06037316695099948	0.04261243068175147	0.059111119507191945	0.05040195388958324	0.11251473650638621	0.09296276454013286	0.05631912678179285	0.056589850914982476	0.09600248664600497	0.09820960547175228	0.10114570778700538	0.06644742471349507	0.08147900265512997	0.11192060615032318	0.07825358901830037	0.08581900921747265	0.06653137086404726	0.0432905126983707	0.0657801456840923	0.09345407433217778	0.05964858472962653	0.028669756330040763	0.07970694507517329	0.058639919455915734	0.05066915557010432	0.049982612377747926	0.04332628251816606	0.04043919047734623	0.08889380803019764
input//#BuenFinSeguro.edges	0.09061513781622454	0	0.10735837124910952	1.0	0.0514575980049633	0.13055363169204337	1.0	0.08126157706694659	0.06853333440486786	0.07183432008055979	1.0	0.1411768272400732	0.10734595255667878	0.13038548966103447	0.09375656836069823	0.02455031275187025	1.0	0.08860070553290811	1.0	0.12169622208070197	1.0	0.10637506743262792	0.1096940218394784	0.094463352767854	0.11125437743783617	1.0	0.06439117548485784	0.09853643562699943	0.07838716885553043	1.0	1.0	0.07796030594928405	1.0	0.1494221486680184	1.0	0.11818516145341385	0.06431537632119466	0.12148425376506955	0.10375207871776915	0.12972918273233425	0.10892112633984796	0.06700193821040545	0.10446971038961061	0.04608823283942276	0.1286570135587365	0.11876298537316732	0.07796829187687859	0.10183207930953819	0.07904290231722011	0.0729597333972194
input//Maluma.edges	0.07764538004383337	0.10735837124910952	0	0.13601646400830025	0.06612761344103313	1.0	1.0	0.07631011045057368	1.0	0.08475483465649492	1.0	1.0	0.09369639887057668	0.11025524827548072	1.0	0.09046765644228882	1.0	0.09714712381484436	0.12675054259772056	0.10370485038851207	0.10739526624707074	0.1221586848308095	0.09502475941332955	0.10596113818029784	1.0	0.10178063668638238	0.11860738857193864	0.10910675692292127	0.05471540690494425	1.0	0.14996671445343934	0.09407488004993991	0.12159480759149333	1.0	0.14319075206566823	0.11836240110600293	0.11971557529593024	0.10470968097594968	0.09267904055039444	0.1037930059705221	1.0	0.09307115731208937	0.10027199205689008	0.06530731291072411	1.0	0.10640978808929336	0.09358343094679644	0.09021256676968226	0.08189038969340001	0.10833341639324545
input//KAROL.edges	0.08364376863161105	1.0	0.13601646400830025	0	1.0	0.1684152154157722	0.14250033235088333	0.09241695945729744	0.09630307440894181	0.09268429570612713	0.09470908181667681	0.08680736294460778	0.07626495019407264	0.05596164492410338	0.08377102589090224	1.0	0.16627990647149749	0.10761296426996236	1.0	0.05463457271693373	0.07665789589423488	0.05386382082618013	0.06184554794435215	0.05376888642131161	0.13614175979168486	0.17412039329387563	0.15161652477667598	0.09333787052084574	0.060728836247011975	1.0	1.0	1.0	1.0	0.07655601421565505	1.0	0.12243949095044204	1.0	0.029732618714217285	0.06640214198864836	0.07402570793367247	0.1749398235271522	0.08669025736412295	0.08171457174741514	1.0	0.05007058914867313	0.05883161157064454	0.09889356152703155	0.0635500270852506	0.07196773917068178	0.13862208916116403
input//#UnPeligroParaMexico.edges	0.08399735986427748	0.0514575980049633	0.06612761344103313	1.0	0	0.1393247462416164	0.07749761267965227	0.07342323632615722	0.08094521598926407	0.07320314947085849	0.12805252238887133	0.14207855585249762	0.09435792139502786	0.1243634453448429	0.08339481673472882	0.033178036293089797	0.09716305113618551	0.09607874106394443	1.0	0.10717958190690369	0.10793807413592538	0.11981955018318013	0.09546360881548321	0.09477756389014325	0.12211526119720151	0.060538264142486975	0.05271250446310283	0.11170832932616814	0.03137253652549854	1.0	1.0	0.02767447480532137	1.0	0.12310932790308371	1.0	0.08286536371459785	0.06071044868849318	0.09681221498453141	0.09542920604408234	0.10190359025207985	0.09426970689365866	0.07592984144790671	0.10706393784678547	0.005831648957768554	0.12998886129301124	0.11377333341611373	0.07915552024423567	0.09074079761448617	0.07260992900458119	0.06107296527787731
input//#SiguesTuLopez.edges	0.11581402731054158	0.13055363169204337	1.0	0.1684152154157722	0.1393247462416164	0	1.0	0.10030918592095117	1.0	0.10635595585267121	1.0	1.0	0.12679467637035113	0.12586134600998167	1.0	0.11041361723221343	1.0	0.10521517075455522	1.0	0.12391557689050015	1.0	0.1302442533908872	0.13461149460720456	0.10137805657040688	1.0	1.0	0.1182951961956572	0.10964025347921469	0.14198742650423046	1.0	1.0	0.16884528661467546	0.1452107842827488	0.11411020924920323	1.0	0.13559040610759876	0.10674972786838488	0.13969601403100373	0.10792994162041758	0.1545643437271943	1.0	0.11599662707332126	0.11064777477384313	0.13484858305629632	1.0	0.11808128821019725	0.10108608766782601	0.122572919148068	0.11502449172311813	0.14499625584988696
input//#MasterChefMx.edges	0.10440902016522025	1.0	1.0	0.14250033235088333	0.07749761267965227	1.0	0	0.1019929555445761	1.0	0.09146839198594636	1.0	1.0	0.11348044350380315	0.1339948529869568	1.0	1.0	1.0	0.10719504877245989	0.0731513978054259	0.10177922859717536	1.0	1.0	0.11249504203526406	0.13611455854070542	1.0	1.0	1.0	0.1403848738150254	0.09401761777523898	1.0	1.0	0.09729922253222689	0.11172659193213186	0.09582499502760577	0.08321636510348085	0.09280844061952065	1.0	0.11255625693407834	0.09556829702875891	0.09827561520841399	1.0	1.0	0.12204596466726136	0.07550182927706917	1.0	0.1222943065401424	0.12348519871714236	0.09327882508019747	0.107575809129007	0.05612611991283989
input//SystemofaDown.edges	0.04501407570621252	0.08126157706694659	0.07631011045057368	0.09241695945729744	0.07342323632615722	0.10030918592095117	0.1019929555445761	0	0.05820739181063539	0.04008450970193167	0.09341736830337322	0.045572829142433546	0.06564249578109671	0.059083215016688895	0.03813001463235055	0.06136995162501968	0.10923011824815976	0.05364785091209623	0.08774554635600573	0.06025193928340389	0.0802785986472141	0.06970762372802053	0.0543053530670593	0.04328126953477318	0.06814522376298193	0.11332972651969342	0.08567701366612701	0.0565220211634504	0.050510161394562436	0.09005706427872617	0.1162897828144751	0.10387704523877372	0.08765505690051334	0.09405907144581072	0.11046821190844625	0.1035655123586271	0.0828599798009182	0.07959045500854345	0.0490324467130655	0.07561316955284514	0.0866213120424838	0.03907861818995251	0.04254244767904103	0.06804040325462568	0.059443504211162734	0.05148702289761764	0.02590786859108818	0.05949349384756464	0.0412981627878477	0.0880536139399638
input//Halloween.edges	0.052719201399950455	0.06853333440486786	1.0	0.09630307440894181	0.08094521598926407	1.0	1.0	0.05820739181063539	0	0.04142125672317176	0.10626290316839282	0.054592720651842064	0.044298024070936526	0.06600128988043519	0.036970815089667264	0.06319300227454994	0.13324496895038251	0.04392630895727356	0.13585680070621053	0.05480622814100389	0.10199602519339701	0.06929507475388597	0.04228719542619608	0.05789876421196827	0.04482081610374966	0.13880200191883918	0.07123131354835599	0.07643754808972492	0.0719349590546714	0.13103755441233922	0.14810530204679495	0.09153953414927007	0.07413071893452683	1.0	0.1446331408872732	0.08467638391217058	0.06735004738062522	0.07725902176360444	0.061281202889514	0.10669492251730606	0.06972063447502164	0.06073166947844677	0.0673410648382643	0.0761400512989614	0.0575548317327127	0.07551081060271847	0.04753400934073082	0.046743172589809645	0.07014007419096513	0.08711768860904578
input//Worlds2020.edges	0.031519111338360384	0.07183432008055979	0.08475483465649492	0.09268429570612713	0.07320314947085849	0.10635595585267121	0.09146839198594636	0.04008450970193167	0.04142125672317176	0	0.08518493827855877	0.06217119107031199	0.0464437308454968	0.05834800252393568	0.04476757324693503	0.06743897609137539	0.10831305656508139	0.03955973498118692	0.08955795798265587	0.05114721752103857	0.08012854661650215	0.07247194127940093	0.04589430163190977	0.06122572010059213	0.04632214190867123	0.10425700201604404	0.07874144894943702	0.06296475434192794	0.05890769135756602	0.09384913850986287	0.11879427653395835	0.0871280689616537	0.07694036758281075	0.09259114608710917	0.09951074013141648	0.07710868948609817	0.07444554270004888	0.07771967682030778	0.04808117794990241	0.06686306174024503	0.07233010760417169	0.05959290789068028	0.04437595092141089	0.06873236138495153	0.059721079642694685	0.058116908922930866	0.04008673665971274	0.04296345076606389	0.04976172137664148	0.06607267418773188
